name,country,position,image,playerpage
Keisuke Honda,日本,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/66521-1455538386.jpg?lm=1,https://www.transfermarkt.jp/keisuke-honda/profil/spieler/66521
Genki Haraguchi,日本,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/79377-1659519476.jpg?lm=1,https://www.transfermarkt.jp/genki-haraguchi/profil/spieler/79377
Hiroyuki Abe,日本,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/211929-1617223544.jpg?lm=1,https://www.transfermarkt.jp/hiroyuki-abe/profil/spieler/211929
Takashi Inui,日本,フォワード,https://img.a.transfermarkt.technology/portrait/small/98249-1447246303.jpg?lm=1,https://www.transfermarkt.jp/takashi-inui/profil/spieler/98249
Takuma Asano,日本,フォワード,https://img.a.transfermarkt.technology/portrait/small/245744-1657284052.jpg?lm=1,https://www.transfermarkt.jp/takuma-asano/profil/spieler/245744
Junya Ito,日本,フォワード,https://img.a.transfermarkt.technology/portrait/small/348791-1614283390.jpg?lm=1,https://www.transfermarkt.jp/junya-ito/profil/spieler/348791
Shoma Doi,日本,フォワード,https://img.a.transfermarkt.technology/portrait/small/164243-1617223259.jpg?lm=1,https://www.transfermarkt.jp/shoma-doi/profil/spieler/164243
Shinji Okazaki,日本,フォワード,https://img.a.transfermarkt.technology/portrait/small/79642-1574689661.jpg?lm=1,https://www.transfermarkt.jp/shinji-okazaki/profil/spieler/79642
Yoshinori Muto,日本,フォワード,https://img.a.transfermarkt.technology/portrait/small/230541-1501160298.jpg?lm=1,https://www.transfermarkt.jp/yoshinori-muto/profil/spieler/230541
Yuya Osako,日本,フォワード,https://img.a.transfermarkt.technology/portrait/small/108650-1535124037.jpg?lm=1,https://www.transfermarkt.jp/yuya-osako/profil/spieler/108650
Yu Kobayashi,日本,フォワード,https://img.a.transfermarkt.technology/portrait/small/138260-1523615986.jpg?lm=1,https://www.transfermarkt.jp/yu-kobayashi/profil/spieler/138260
Mu Kanazaki,日本,フォワード,https://img.a.transfermarkt.technology/portrait/small/86172-1493885103.jpg?lm=1,https://www.transfermarkt.jp/mu-kanazaki/profil/spieler/86172
Kenyu Sugimoto,日本,フォワード,https://img.a.transfermarkt.technology/portrait/small/129694-1615026016.jpg?lm=1,https://www.transfermarkt.jp/kenyu-sugimoto/profil/spieler/129694
Shinzo Koroki,日本,フォワード,https://img.a.transfermarkt.technology/portrait/small/82988-1615026073.jpg?lm=1,https://www.transfermarkt.jp/shinzo-koroki/profil/spieler/82988
Kengo Kawamata,日本,フォワード,https://img.a.transfermarkt.technology/portrait/small/79318-1618822610.jpg?lm=1,https://www.transfermarkt.jp/kengo-kawamata/profil/spieler/79318
Takashi Usami,日本,フォワード,https://img.a.transfermarkt.technology/portrait/small/111881-1501157940.jpg?lm=1,https://www.transfermarkt.jp/takashi-usami/profil/spieler/111881
